Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
DEUTSCHE POSTBANK FUNDING TRUST I,US,Investment Banking & Brokerage,A,7.1,8.6,4.7,3.7
DEUTSCHE POSTBANK FUNDING TRUST III,US,Investment Banking & Brokerage,A,7.1,8.6,4.7,3.7
"DEXCOM, INC",US,Health Care Equipment & Supplies,A,6.8,6.4,5.8,6.1
"DHC Software Co, Ltd",CN,Software & Services,B,1.7,,3.6,1.6
DIAMOND S SHIPPING INC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.1,1.5,3.5,6.5
"DIAMONDBACK ENERGY, INC",US,Oil & Gas Exploration & Production,B,2.8,2.3,4.4,5.0
DIAMONDBACK O&G LLC,US,Oil & Gas Exploration & Production,B,2.8,2.3,4.4,5.0
DIC Corporation,JP,Specialty Chemicals,A,6.3,,1.9,4.1
"DICKS SPORTING GOODS, INC",US,Retail - Consumer Discretionary,A,6.1,3.2,5.3,4.5
"DIGITAL EURO FINCO, LLC",US,Real Estate Management & Services,A,6.4,,5.2,4.5
"DIGITAL REALTY TRUST, INC",US,Software & Services,A,6.4,6.2,5.2,4.5
"DIGITAL REALTY TRUST, LP",US,Real Estate Management & Services,A,6.4,6.2,5.2,4.5
"DIGITAL STOUT HOLDING, LLC",US,Real Estate Management & Services,A,6.4,6.2,5.2,4.5
"DIGITAL TURBINE, INC",US,Software & Services,B,1.5,4.2,2.8,5.8
DIODES INCORPORATED,US,Semiconductors & Semiconductor Equipment,B,1.8,4.0,3.3,4.8
DIP Corporation,JP,Interactive Media & Services,A,6.5,8.7,4.6,3.8
"DIRECTPATH, LLC",US,Life & Health Insurance,A,7.0,7.4,4.5,6.0
DISCOVER BANK,US,Banks,A,7.1,8.0,4.3,6.2
DISCOVER FINANCIAL SERVICES,US,Consumer Finance,A,7.1,8.0,4.3,6.2
DIVERSIFIED HEALTHCARE TRUST,US,Real Estate Management & Services,B,1.8,5.1,4.0,3.4
"DL E&C CO, LTD",KR,Construction & Engineering,B,2.5,3.7,0.2,4.7
"DL Energy Co, Ltd",KR,Construction & Engineering,B,2.5,3.3,1.4,2.5
"DL Holdings CO,LTD",KR,Construction & Engineering,B,2.5,3.3,1.4,2.5
"DOCUSIGN, INC",US,Software & Services,A,6.2,4.6,5.7,4.9
"DOLBY LABORATORIES, INC",US,Software & Services,A,5.8,3.9,4.8,4.6
"DOMA HOLDINGS, INC",US,Property & Casualty Insurance,B,2.7,1.0,3.0,5.3
"DOMINION ENERGY QUESTAR PIPELINE, LLC",US,Utilities,A,6.5,,6.0,4.9
DONEGAL GROUP INC,US,Property & Casualty Insurance,B,1.5,1.1,3.3,4.0
DONG SUH COMPANIES INC,KR,Retail - Food & Staples,B,1.9,2.7,7.4,0.0
"DONGWON F & B CO,LTD",KR,Food Products,B,2.4,2.1,5.5,0.4
DONGYUE GROUP LIMITED,CN,Specialty Chemicals,B,1.6,2.4,1.4,4.5
"DONNELLEY FINANCIAL SOLUTIONS, INC",US,Diversified Financials,A,6.9,8.3,2.7,6.9
"DOOSAN HEAVY INDUSTRIES & CONSTRUCTION CO,LTD",KR,Electrical Equipment,B,1.9,7.1,3.1,2.2
"DOOSAN MECATEC CO, LTD",KR,Electrical Equipment,B,1.9,7.1,3.1,2.2
"DOUGLAS EMMETT 1997, LLC",US,Real Estate Management & Services,A,6.1,7.6,3.7,4.4
"DOUGLAS EMMETT 2008, LLC",US,Real Estate Management & Services,A,6.1,,3.7,4.4
DOUGLAS EMMETT 2010 LLC,US,Real Estate Management & Services,A,6.1,7.6,3.7,4.4
"DOUGLAS EMMETT 2014, LLC",US,Real Estate Management & Services,A,6.1,7.6,3.7,4.4
"DOUGLAS EMMETT 2015, LLC",US,Real Estate Management & Services,A,6.1,7.6,3.7,4.4
"DOUGLAS EMMETT, INC",US,Real Estate Management & Services,A,6.1,,3.7,4.4
DOVER CORPORATION,US,Industrial Machinery,A,6.9,4.7,4.6,6.4
"DOWA HOLDINGS CO,LTD",JP,Metals and Mining - Non-Precious Metals,A,6.7,4.4,4.8,4.9
"DROPBOX, INC",US,Software & Services,A,6.9,,5.4,5.6
DTE ELECTRIC COMPANY,US,Utilities,A,6.5,5.7,5.7,6.8
DUCOMMUN INCORPORATED,US,Aerospace & Defense,A,7.0,2.1,5.9,5.6
"DUKE ENERGY FLORIDA PROJECT FINANCE, LLC",US,Utilities,A,6.3,,5.7,5.3
"DUKE ENERGY FLORIDA, LLC",US,Utilities,A,6.3,,5.7,5.3
DUKE REALTY CORPORATION,US,Real Estate Management & Services,A,6.3,5.5,4.4,6.5
DUKE REALTY LIMITED PARTNERSHIP,US,Real Estate Management & Services,A,6.3,,4.4,6.5
"DUN & BRADSTREET HOLDINGS, INC",US,Professional Services,B,2.1,6.7,3.6,6.0
"DUPONT DE NEMOURS, INC",US,Specialty Chemicals,A,6.5,5.5,3.6,6.1
DXC TECHNOLOGY COMPANY,US,Software & Services,A,6.4,6.1,4.6,5.3
"DXP ENTERPRISES, INC",US,Trading Companies & Distributors,B,2.0,3.2,7.9,3.2
"DaShenLin Pharmaceutical Group Co, Ltd",CN,Retail - Food & Staples,B,1.6,3.3,3.1,3.0
"Daan Gene Co, Ltd",CN,Biotechnology,B,2.4,,4.5,3.6
Daicel Corporation,JP,Diversified Chemicals,A,6.9,6.9,3.9,4.5
"Daishi Hokuetsu Financial Group, Inc",JP,Banks,B,2.7,2.9,3.4,3.2
"Daishin F&I Co,Ltd",KR,Investment Banking & Brokerage,B,1.6,1.1,0.9,4.9
Daiwa Securities Co Ltd,JP,Investment Banking & Brokerage,A,7.1,5.0,5.3,5.0
Daiwa Securities Group Inc,JP,Investment Banking & Brokerage,A,7.1,5.0,5.3,5.0
"Dana Companies, LLC",US,Multi-Line Insurance & Brokerage,B,2.7,2.5,3.5,5.2
Daqo New Energy Corp,CN,Semiconductors & Semiconductor Equipment,B,1.8,7.1,1.0,4.6
"Dawning Information Industry Co, Ltd",CN,"Technology Hardware, Storage & Peripherals",B,2.1,3.9,2.2,5.3
Denka Company Limited,JP,Commodity Chemicals,A,6.8,,3.1,4.9
Dentium Co Ltd,KR,Health Care Equipment & Supplies,B,2.6,,5.0,3.4
"Deutsche Bank (China) Co, Ltd",CN,Investment Banking & Brokerage,A,7.1,8.6,4.7,3.7
Deutsche Bank AG (New York Branch),US,Investment Banking & Brokerage,A,7.1,8.6,4.7,3.7
Development Bank of Japan Inc,JP,Supranationals & Development Banks,A,6.5,4.3,5.3,7.1
Devsisters Corp,KR,Media & Entertainment,B,2.1,6.7,4.7,1.3
Dexerials Corporation,JP,"Electronic Equipment, Instruments & Components",A,6.5,3.1,4.9,5.7
Dexia Credit Local (New York Branch),US,Banks,B,2.7,3.5,2.7,5.9
Dongfang Electric Corporation Limited,CN,Electrical Equipment,B,1.5,6.7,4.0,1.3
Dongkook Pharmaceutical Co Ltd,KR,Pharmaceuticals,B,1.8,2.4,4.0,0.9
Dongwon Farms CoLtd,KR,Food Products,B,2.4,2.1,5.5,0.4
Doosan Corporation,KR,Industrial Conglomerates,A,7.0,3.7,5.8,4.7
"Doosan Fuel Cell Co, Ltd",KR,Electrical Equipment,B,2.2,5.8,3.9,1.9
Dorian LPG Ltd,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,,5.6,4.5
"DoubleUGames Co, Ltd",KR,Media & Entertainment,B,2.1,,2.7,3.9
Douglas Elliman Inc,US,Real Estate Management & Services,B,2.1,1.6,5.0,5.1
Duck Creek Technologies Inc,US,Software & Services,A,6.2,4.2,5.2,5.3
"Duke Energy Carolinas, LLC",US,Utilities,A,6.0,,5.7,5.3
Duolingo Inc,US,Diversified Consumer Services,B,2.1,6.7,3.1,4.3
"DyDo GROUP HOLDINGS, INC",JP,Food Products,B,2.7,1.4,4.5,4.6
E-MART EVERYDAY Inc,KR,Retail - Food & Staples,B,1.6,2.0,3.2,3.2
E-MART Inc,KR,Retail - Food & Staples,B,1.6,2.0,3.2,3.2
E-MART24 INC,KR,Retail - Food & Staples,B,1.6,,3.2,3.2
"EAGLE BANCORP, INC",US,Banks,B,2.5,0.0,2.4,5.7
EAGLE MATERIALS INC,US,Construction Materials,B,2.7,0.6,4.5,4.2
EAGLEBANK,US,Banks,B,2.5,0.0,2.4,5.7
EAGLEMARK SAVINGS BANK,US,Consumer Finance,A,7.13,7.1,4.8,5.2
"EASTERN COMMUNICATIONS CO, LTD",CN,"Technology Hardware, Storage & Peripherals",B,1.8,2.0,3.8,3.5
"EASTGROUP PROPERTIES, INC",US,Real Estate Management & Services,B,1.6,5.4,1.6,4.3
EASTMAN KODAK COMPANY,US,"Technology Hardware, Storage & Peripherals",B,2.7,1.9,4.8,3.4
"EASTMONEY SECURITIES Co, Ltd",CN,Diversified Financials,B,2.4,6.5,3.1,4.5
EBAY INC,US,Retail - Consumer Discretionary,A,6.8,10.0,3.7,6.4
"EBIX, INC",US,Software & Services,B,1.7,4.2,3.0,2.6
"ECOPRO CO,LTD",KR,Commodity Chemicals,B,2.2,3.6,0.8,3.6
"ECOPRO INNOVATIONCO,LTD",KR,Commodity Chemicals,B,2.2,3.6,0.8,3.6
"ECS FEDERAL, LLC",US,Professional Services,A,6.9,8.0,5.7,7.0
"EDF LONDON CAPITAL, LP",US,Utilities,A,7.0,7.7,7.3,4.1
EDION Corporation,JP,Retail - Consumer Discretionary,A,6.1,2.7,6.5,4.6
EF HOLDCO INC,US,Asset Management & Custody Banks,B,2.5,8.0,1.3,6.0
EL PASO ENERGY CAPITAL TRUST I,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,5.0,5.9,5.3
EL PASO LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.0,4.6,5.4,5.6
EL PASO NATURAL GAS CO LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,5.0,5.9,5.3
"EL PASO TENNESSEE PIPELINE CO, LLC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,5.0,5.9,5.3
"ELBIT SYSTEMS OF AMERICA, LLC",US,Aerospace & Defense,A,7.0,3.6,6.2,5.0
"ELDORADO ACQUISITION THREE, LLC",US,Telecommunication Services,A,6.6,10.0,5.7,4.4
"ELECOM CO, LTD",JP,"Technology Hardware, Storage & Peripherals",B,1.5,2.0,3.3,4.0
"ELF BEAUTY, INC",US,Household & Personal Products,B,2.0,1.5,3.9,4.6
"ELF COSMETICS, INC",US,Household & Personal Products,B,2.0,1.5,3.9,4.6
ELI LILLY AND COMPANY,US,Pharmaceuticals,A,5.9,5.3,4.8,4.7
ELLINGTON FINANCIAL INC,US,Asset Management & Custody Banks,B,2.5,8.0,1.3,6.0
"ELM ROAD GENERATING STATION SUPERCRITICAL, LLC",US,Utilities,A,6.5,6.4,5.0,6.0
EMBARQ CORPORATION,US,Telecommunication Services,A,6.6,10.0,5.7,4.4
"EMBARQ FLORIDA, INC",US,Telecommunication Services,A,6.6,10.0,5.7,4.4
"EMPOWER FINANCE 2020, LP",US,Life & Health Insurance,A,6.6,,5.3,4.9
ENBRIDGE (US) INC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,7.0,5.5,4.7,7.4
"ENBRIDGE ENERGY PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,7.0,5.5,4.7,7.4
ENCORE WIRE CORPORATION,US,Electrical Equipment,B,2.2,2.6,7.6,4.0
ENDO FINANCE LLC,US,Pharmaceuticals,B,1.8,3.4,2.6,5.5
"ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC",US,Software & Services,B,2.4,6.7,3.0,2.5
ENERGY FUTURE COMPETITIVE HOLDINGS COMPANY LLC,US,Utilities,A,7.0,6.9,6.2,5.9
"ENERGY RECOVERY, INC",US,Industrial Machinery,A,7.1,5.2,6.6,5.6
ENERGY TRANSFER LP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.6,3.4,3.1,4.7
ENERGY VENTURES GOM LLC,US,Oil & Gas Exploration & Production,B,2.3,1.7,2.3,6.5
"ENGINEERED CONTROLS INTERNATIONAL, LLC",US,Industrial Machinery,A,6.9,4.7,4.6,6.4
ENI FINANCE USA INC,US,Integrated Oil & Gas,A,5.8,6.0,8.1,3.1
ENI USA INC,US,Oil & Gas Exploration & Production,A,5.8,6.0,8.1,3.1
"ENLINK MIDSTREAM PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,4.3,4.0,2.2
ENN ENERGY HOLDINGS LIMITED,CN,Utilities,A,6.1,7.9,4.7,5.0
ENSTAR FINANCE LLC,US,Multi-Line Insurance & Brokerage,B,2.7,2.5,3.5,5.2
"ENTEGRIS, INC",US,Semiconductors & Semiconductor Equipment,A,6.7,4.5,5.2,6.3
"ENTERGY ARKANSAS, LLC",US,Utilities,A,7.0,,5.4,6.5
"ENTERGY ASSETS MANAGEMENT OPERATIONS, LLC",US,Utilities,A,7.0,6.5,5.4,6.5
ENTERGY CORPORATION,US,Utilities,A,7.0,6.5,5.4,6.5
"ENTERGY LOUISIANA, LLC",US,Utilities,A,7.0,6.5,5.4,6.5
"ENTERGY MISSISSIPPI, LLC",US,Utilities,A,7.0,6.5,5.4,6.5
"ENTERGY NEW ORLEANS, LLC",US,Utilities,A,7.0,,5.4,6.5
"ENTERGY TEXAS, INC",US,Utilities,A,7.0,6.5,5.4,6.5
"ENTERGY UTILITY AFFILIATES, LLC",US,Utilities,A,7.0,,5.4,6.5
ENVEN ENERGY CORPORATION,US,Oil & Gas Exploration & Production,B,2.3,1.7,2.3,6.5
"ENVESTNET, INC",US,Software & Services,A,6.2,4.0,4.0,6.6
ENVISTA HOLDINGS CORPORATION,US,Health Care Equipment & Supplies,A,5.8,,5.4,5.5
ENVIVA INC,US,Metals and Mining - Non-Precious Metals,A,6.7,4.1,5.2,4.3
ENZYCHEM LIFESCIENCES CORPORATION,KR,Pharmaceuticals,B,2.1,1.7,4.3,2.2
"EPIZYME, INC",US,Biotechnology,B,1.7,,4.0,4.6
EPLUS INC,US,"Electronic Equipment, Instruments & Components",A,5.8,4.8,4.0,5.2
EPR PROPERTIES,US,Real Estate Management & Services,B,1.6,4.7,2.8,4.6
EQT CORPORATION,US,Oil & Gas Exploration & Production,A,6.5,3.4,5.8,5.5
"EQUITY LIFESTYLE PROPERTIES, INC",US,Real Estate Management & Services,B,2.4,,2.3,5.5
"ESR Kendall Square REIT Co, Ltd",KR,Real Estate Management & Services,B,1.8,6.0,5.1,1.9
"ESSENCE SECURITIES Co, Ltd",CN,Investment Banking & Brokerage,B,1.8,3.1,1.8,3.7
ETC Sunoco Holdings LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.6,3.4,3.1,4.7
ETHAN ALLEN INTERIORS INC,US,Household Durables,A,6.2,5.1,4.6,6.2
ETP HOLDCO CORPORATION,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.6,3.4,3.1,4.7
"EURONET WORLDWIDE, INC",US,Software & Services,B,2.6,6.7,3.2,3.7
EVERI HOLDINGS INC,US,Casinos & Gaming,A,7.0,5.8,5.8,5.3
EVERI PAYMENTS INC,US,"Electronic Equipment, Instruments & Components",A,7.0,5.8,5.8,5.3
"EVERNORTH HEALTH, INC",US,Health Care Providers & Services,A,6.3,10.0,4.4,6.2
EVERSTREAM SOLUTIONS LLC,US,Asset Management & Custody Banks,A,6.1,10.0,5.5,5.1
"EVOLENT HEALTH, INC",US,Health Care Equipment & Supplies,B,2.6,8.0,3.1,5.4
EVOQUA WATER TECHNOLOGIES CORP,US,Industrial Machinery,A,7.1,4.5,5.9,5.8
EWT HOLDINGS III CORP,US,Industrial Machinery,A,7.1,4.5,5.9,5.8
EXCALIBUR ONE 77B LLC,US,Trading Companies & Distributors,A,7.1,6.1,5.0,6.0
"EXELIXIS, INC",US,Biotechnology,B,1.7,2.2,3.7,4.6
EXELON CORPORATION,US,Utilities,A,7.0,7.4,5.6,5.5
"EXEO Group, Inc",JP,Construction & Engineering,A,6.5,5.7,5.2,4.5
"EXLSERVICE HOLDINGS, INC",US,Software & Services,A,6.2,9.3,3.8,6.0
"East Money Information Co, Ltd",CN,Diversified Financials,B,2.4,6.5,3.1,4.5
Edgewell Personal Care Company,US,Household & Personal Products,A,7.1,4.2,4.5,5.5
"EnPro Industries, Inc",US,Industrial Machinery,A,6.3,4.1,4.4,6.5
Energen Corporation,US,Oil & Gas Exploration & Production,B,2.8,2.3,4.4,5.0
Energy Fuels Inc,US,Metals and Mining - Non-Precious Metals,A,6.3,,5.5,6.0
Erasca Inc,US,Biotechnology,A,5.9,5.4,4.3,6.0
"Essential Utilities, Inc",US,Utilities,A,7.0,6.3,6.9,5.8
EverQuote Inc,US,Interactive Media & Services,B,2.7,6.2,1.7,4.7
Evolv Technologies Holdings Inc,US,"Electronic Equipment, Instruments & Components",B,1.9,2.1,2.5,5.0
F45 TRAINING HOLDINGS INC,US,Hotels & Travel,A,7.1,3.9,6.1,5.2
"F5, INC",US,"Technology Hardware, Storage & Peripherals",A,6.1,2.9,4.2,6.3
FAIR ISAAC CORPORATION,US,Software & Services,A,7.1,4.7,5.5,5.9
FAIRWOOD CORPORATION,US,Banks,A,7.0,8.7,3.9,5.0
"FANTASIA HOLDINGS GROUP CO, LIMITED",CN,Real Estate Development & Diversified Activities,B,2.2,2.5,2.1,3.2
FB Financial Corporation,US,Banks,B,1.7,1.0,3.6,6.4
FCC Co Ltd,JP,Auto Components,B,2.8,,4.7,3.0
FEDERAL AGRICULTURAL MORTGAGE CORPORATION,US,Banks,A,5.9,3.4,4.2,4.6
FEDERAL SIGNAL CORPORATION,US,Construction & Farm Machinery & Heavy Trucks,A,6.7,4.1,5.6,5.9
FERRELLGAS ESCROW LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.3,3.7,5.0,4.2
"FERRELLGAS PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.3,3.7,5.0,4.2
FERRO CORPORATION,US,Specialty Chemicals,B,2.2,3.4,0.3,4.8
"FIDELITY & GUARANTY LIFE HOLDINGS, INC",US,Property & Casualty Insurance,B,2.7,1.5,3.8,4.6
"FIDELITY NATIONAL FINANCIAL, INC",US,Property & Casualty Insurance,B,2.7,1.5,3.8,4.6
"FIDELITY NATIONAL INFORMATION SERVICES, INC",US,Software & Services,A,7.1,8.7,5.4,4.9
FIFTH THIRD BANCORP,US,Banks,A,6.5,6.2,3.8,5.6
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",US,Banks,A,6.5,6.2,3.8,5.6
FIFTH THIRD FINANCIAL CORPORATION,US,Banks,A,6.5,6.2,3.8,5.6
"FINANCIAL STREET HOLDINGS CO, LTD",CN,Real Estate Development & Diversified Activities,B,1.5,5.0,3.3,0.0
FIRST ADVANTAGE CORPORATION,US,Professional Services,A,6.4,6.5,6.5,6.1
FIRST AMERICAN FINANCIAL CORPORATION,US,Property & Casualty Insurance,A,7.0,4.9,4.3,5.3
FIRST BANK,US,Banks,B,1.7,1.0,3.6,6.4
"FIRST CITIZENS BANCSHARES, INC",US,Banks,B,2.1,0.6,3.2,4.7
FIRST-CITIZENS BANK & TRUST COMPANY,US,Banks,B,2.1,0.6,3.2,4.7
"FIRSTENERGY TRANSMISSION, LLC",US,Utilities,A,5.8,,5.3,4.2
"FIVE STAR FOOD SERVICE, INC",US,Banks,A,5.9,,4.0,6.3
"FIVE9, INC",US,Software & Services,A,6.7,4.8,5.7,5.2
"FLIR SYSTEMS, INC",US,"Electronic Equipment, Instruments & Components",A,6.1,3.3,4.8,2.8
"FLORIDA GAS TRANSMISSION COMPANY, LLC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,5.0,5.9,5.3
FLORIDA POWER & LIGHT COMPANY,US,Utilities,A,6.0,6.9,3.9,4.0
"FLOWERS FOODS, INC",US,Food Products,A,6.2,3.7,5.1,5.2
FLOWSERVE CORPORATION,US,Industrial Machinery,A,6.9,4.7,5.4,5.5
FLUSHING BANK,US,Banks,B,2.5,0.5,3.1,4.5
FLUSHING FINANCIAL CORPORATION,US,Banks,B,2.5,,3.1,4.5
FMR LLC,US,Asset Management & Custody Banks,B,1.5,10.0,2.8,3.7
FOOD & LIFE COMPANIES LTD,JP,Restaurants,B,1.8,1.2,3.8,6.1
"FOOT LOCKER, INC",US,Retail - Consumer Discretionary,A,6.6,3.8,4.8,6.2
FORD HOLDINGS LLC,US,Consumer Finance,B,2.0,5.4,2.0,3.0
FORD MOTOR COMPANY,US,Automobiles,B,2.0,5.4,2.0,3.0
FORD MOTOR CREDIT COMPANY LLC,US,Consumer Finance,B,2.0,5.4,2.0,3.0
FORESTAR GROUP INC,US,Real Estate Development & Diversified Activities,B,2.5,,3.2,3.0
"FORMER CHARTER COMMUNICATIONS PARENT, INC",US,Media & Entertainment,B,2.3,,3.7,3.3
"FORMFACTOR, INC",US,Semiconductors & Semiconductor Equipment,B,2.1,2.8,1.8,6.2
FORMULA ONE GROUP,US,Media & Entertainment,B,2.7,7.6,6.3,1.1
FORTIVE CORPORATION,US,Industrial Machinery,A,6.3,4.8,6.1,5.0
"FRANCHISE GROUP INTERMEDIATE HOLDCO, LLC",US,Retail - Consumer Discretionary,A,5.9,,4.8,6.1
"FRANCHISE GROUP, INC",US,Retail - Consumer Discretionary,A,5.9,,4.8,6.1
"FRANKLIN ELECTRIC CO, INC",US,Industrial Machinery,A,6.0,5.5,5.5,4.4
FREEDOM HOLDING CORP,US,Investment Banking & Brokerage,B,2.6,3.4,1.9,3.9
"FRESHPET, INC",US,Food Products,A,7.1,2.8,6.9,6.2
FS ENERGY AND POWER FUND,US,Asset Management & Custody Banks,B,2.1,6.7,2.4,7.1
"FUJI ELECTRIC CO, LTD",JP,Electrical Equipment,A,6.7,7.2,6.6,4.7
FUJI OIL HOLDINGS INC,JP,Food Products,A,5.9,3.6,6.8,2.8
"FUJI SEAL INTERNATIONAL,INC",JP,Containers & Packaging,B,1.7,3.8,3.3,5.2
"FUJICCO CO, LTD",JP,Food Products,B,1.6,0.8,5.9,3.3
FUJITSU GENERAL LIMITED,JP,Household Durables,B,1.7,5.3,3.0,3.1
"FUKUYAMA TRANSPORTING CO, LTD",JP,Road & Rail Transport,A,7.1,4.4,5.4,3.9
FUTU HOLDINGS LIMITED,CN,Investment Banking & Brokerage,B,1.8,6.7,0.6,4.9
FUTUREFUEL CORP,US,Specialty Chemicals,B,2.0,2.8,3.0,4.5
"Fantasia Group (China) Co, Ltd",CN,Real Estate Development & Diversified Activities,B,2.2,2.5,2.1,3.2
"Far East International Finance Leasing Co, Ltd",CN,Diversified Financials,A,6.8,,3.8,6.2
Faraday Future Intelligent Electric Inc,US,Automobiles,B,2.0,4.6,0.4,3.1
Federal National Mortgage Association,US,Banks,A,6.8,6.4,4.9,5.8
Ferrotec Holdings Corporation,JP,Semiconductors & Semiconductor Equipment,B,1.5,5.8,5.3,4.1
"First Community Bankshares, Inc",US,Banks,B,2.7,1.5,3.0,4.5
"Flat Glass Group Co, Ltd",CN,Semiconductors & Semiconductor Equipment,B,1.8,3.5,4.9,4.0
"Ford Automotive Finance (China) Co, Ltd",CN,Consumer Finance,B,2.0,5.4,2.0,3.0
Foshan Haitian Flavouring and Food Co Ltd,CN,Food Products,B,2.4,,4.3,4.8
"Fujian Fuqing Nuclear Power Co, Ltd",CN,Utilities,B,2.1,4.2,4.9,1.6
"Fujian Sunner Development Co, Ltd",CN,Food Products,B,1.9,0.9,4.3,3.6
Fukuoka REIT Corporation,JP,Real Estate Management & Services,B,2.1,6.2,3.0,3.4
Fullcast Holdings Co Ltd,JP,Professional Services,A,5.9,7.0,7.2,4.0
Funai Soken Holdings Incorporated,JP,Professional Services,B,1.8,7.0,3.5,6.0
Future Corporation,JP,Software & Services,B,2.1,4.3,2.3,3.5
"Fuyo General Lease Co, Ltd",JP,Diversified Financials,A,6.9,10.0,3.8,3.2
"G-III APPAREL GROUP, LTD",US,"Textiles, Apparel & Luxury Goods",B,2.3,1.9,3.7,3.1
G-TEKT CORPORATION,JP,Auto Components,B,1.7,2.4,4.3,3.1
"GABRIEL PERFORMANCE PRODUCTS, LLC",US,Diversified Chemicals,B,2.0,,2.2,5.9
GANGLONG CHINA PROPERTY GROUP LIMITED,CN,Real Estate Development & Diversified Activities,B,2.5,2.8,2.0,4.3
"GARDNER DENVER, INC",US,Industrial Machinery,A,6.0,4.7,3.0,5.9
"GARTNER, INC",US,Professional Services,A,6.4,7.7,7.3,4.5
GATX CORPORATION,US,Trading Companies & Distributors,A,6.7,,6.1,5.4
GCP APPLIED TECHNOLOGIES INC,US,Specialty Chemicals,B,2.4,2.6,2.3,5.1
GENCO SHIPPING & TRADING LIMITED,US,Marine Transport,B,2.2,3.7,3.6,5.4
"GENENTECH, INC",US,Pharmaceuticals,A,6.9,6.5,4.6,6.1
GENERAC HOLDINGS INC,US,Electrical Equipment,A,6.7,5.9,5.0,5.1
"GENERAC POWER SYSTEMS, INC",US,Electrical Equipment,A,6.7,5.9,5.0,5.1
GENESCO INC,US,Retail - Consumer Discretionary,A,6.3,2.5,4.6,6.6
GENTHERM INCORPORATED,US,Auto Components,A,7.0,3.3,4.7,6.4
GEO HOLDINGS CORPORATION,JP,Retail - Consumer Discretionary,A,6.6,1.0,6.7,4.2
GEORGIA POWER COMPANY,US,Utilities,A,6.5,,6.9,5.1
GETTY REALTY CORP,US,Real Estate Management & Services,B,1.6,3.2,3.6,4.7
"GEVO, INC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,2.8,1.6,4.6,5.7
"GEYSERS POWER COMPANY, LLC",US,Utilities,B,2.7,3.8,5.7,4.0
GFI GROUP INC,US,Investment Banking & Brokerage,B,2.1,3.4,2.4,4.3
GLADSTONE LAND CORPORATION,US,Food Products,B,1.6,1.4,3.2,4.0
GLAUKOS CORPORATION,US,Health Care Equipment & Supplies,A,6.1,6.3,7.7,4.1
GLOBAL INDUSTRIAL COMPANY,US,Trading Companies & Distributors,B,2.6,,6.3,3.6
GLOBAL OPERATING LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.3,5.4,5.3,4.6
GLOBAL PARTNERS LP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.3,5.4,5.3,4.6
GLOBE LIFE INC,US,Life & Health Insurance,B,2.4,4.0,3.0,4.3
"GLP Capital, LP",US,Real Estate Management & Services,B,2.4,,2.2,4.6
GLP China Holdings Limited,CN,Real Estate Management & Services,A,5.8,5.6,6.4,5.2
GLP J-REIT,JP,Real Estate Management & Services,B,1.8,6.1,2.0,3.7
GMO Financial Gate Inc,JP,Software & Services,B,1.9,7.0,4.2,2.2
"GMO Financial Holdings, Inc",JP,Investment Banking & Brokerage,B,2.0,7.0,2.4,4.3
"GMO internet, Inc",JP,Software & Services,B,1.9,7.0,5.0,1.3
GMS Inc,US,Trading Companies & Distributors,A,6.9,3.0,6.6,6.5
"GOLDCREST Co,Ltd",JP,Real Estate Development & Diversified Activities,B,1.5,2.5,4.3,0.9
"GOLDEN ENTERTAINMENT, INC",US,Casinos & Gaming,B,2.6,3.0,3.5,4.3
GOLDEN STATE WATER COMPANY,US,Utilities,A,6.1,5.6,6.0,6.9
GOLDMAN SACHS & CO LLC,US,Investment Banking & Brokerage,A,7.13,,6.2,3.1
GOLDMAN SACHS BANK USA,US,Investment Banking & Brokerage,A,7.13,10.0,6.2,3.1
GOLDMAN SACHS CAPITAL I,US,Investment Banking & Brokerage,A,7.13,,6.2,3.1
GOLDMAN SACHS CAPITAL II,US,Investment Banking & Brokerage,A,7.13,10.0,6.2,3.1
GOLDMAN SACHS CAPITAL III,US,Investment Banking & Brokerage,A,7.13,10.0,6.2,3.1
